Date of Purchase,Event,Purchased
2024-07-22,SCHEHERAZADE,7633.629999999999
2024-07-23,FIREBIRD,8923.64
2024-07-23,SCHEHERAZADE,8578.63
2024-07-24,FIREBIRD,8923.64
2024-07-24,SCHEHERAZADE,8862.13
2024-07-25,FIREBIRD,8923.64
2024-07-25,SCHEHERAZADE,9242.13
2024-07-26,FIREBIRD,8923.64
2024-07-26,SCHEHERAZADE,10101.13
2024-07-27,FIREBIRD,8923.64
2024-07-27,SCHEHERAZADE,11143.699999999999
2024-07-28,FIREBIRD,8923.64
2024-07-28,SCHEHERAZADE,12508.269999999999
2025-03-17,Beethoven 5,1218.6200000000001
2025-03-17,Tchaikovsky 5,363.84000000000003
2025-03-18,Beethoven 5,1325.88
2025-03-18,Tchaikovsky 5,363.84000000000003
2025-03-19,Beethoven 5,1433.14
2025-03-19,Tchaikovsky 5,363.84000000000003
2025-03-20,Beethoven 5,1647.66
2025-03-20,Tchaikovsky 5,363.84000000000003
2025-03-21,Beethoven 5,1808.5500000000002
2025-03-21,Tchaikovsky 5,363.84000000000003
2025-04-04,Beethoven 5,1915.8100000000002
2025-04-04,Tchaikovsky 5,363.84000000000003
2025-04-07,Beethoven 5,2144.63
2025-04-07,Tchaikovsky 5,499.36
2025-04-10,Beethoven 5,2209.81
2025-04-10,Tchaikovsky 5,499.36
2025-04-16,Beethoven 5,2340.17
2025-04-16,Tchaikovsky 5,499.36
2025-04-17,Beethoven 5,2340.17
2025-04-17,Tchaikovsky 5,564.54
2025-04-25,Beethoven 5,2405.35
2025-04-25,Tchaikovsky 5,564.54
2025-04-28,Beethoven 5,2437.94
2025-04-28,Tchaikovsky 5,597.13
2025-05-03,Beethoven 5,2503.12
2025-05-03,Tchaikovsky 5,597.13
2025-05-15,Beethoven 5,2619.8599999999997
2025-05-15,Tchaikovsky 5,597.13
2025-05-18,Beethoven 5,2652.45
2025-05-18,Tchaikovsky 5,704.39
2025-05-19,Beethoven 5,2652.45
2025-05-19,Tchaikovsky 5,905.27
2025-05-20,Beethoven 5,2813.3399999999997
2025-05-20,Tchaikovsky 5,970.45
2025-05-22,Beethoven 5,2920.6
2025-05-22,Tchaikovsky 5,970.45
2025-05-24,Beethoven 5,2920.6
2025-05-24,Tchaikovsky 5,1264.38
2025-05-25,Beethoven 5,3027.86
2025-05-25,Tchaikovsky 5,1371.64
2025-05-26,Beethoven 5,3093.04
2025-05-26,Tchaikovsky 5,1371.64
2025-05-28,Beethoven 5,3093.04
2025-05-28,Tchaikovsky 5,1565.1200000000001
2025-05-30,Beethoven 5,3223.4
2025-05-30,Tchaikovsky 5,1565.1200000000001
2025-06-02,Beethoven 5,3288.58
2025-06-02,Tchaikovsky 5,1630.3000000000002
2025-06-05,Beethoven 5,3353.7599999999998
2025-06-05,Tchaikovsky 5,1662.89
2025-06-07,Beethoven 5,3515.08
2025-06-07,Tchaikovsky 5,1662.89
2025-06-08,Beethoven 5,3622.34
2025-06-08,Tchaikovsky 5,1662.89
2025-06-09,Beethoven 5,3729.6000000000004
2025-06-09,Tchaikovsky 5,1695.48
2025-06-10,Beethoven 5,3990.3200000000006
2025-06-10,Tchaikovsky 5,1728.07
2025-06-11,Beethoven 5,4153.27
2025-06-11,Tchaikovsky 5,1728.07
2025-06-12,Beethoven 5,4323.7300000000005
2025-06-12,Tchaikovsky 5,1728.07
2025-06-13,Beethoven 5,4535.7300000000005
2025-06-13,Tchaikovsky 5,1784.07
2025-06-14,Beethoven 5,4568.330000000001
2025-06-14,Tchaikovsky 5,1806.47
2025-06-16,Beethoven 5,4674.330000000001
2025-06-16,Tchaikovsky 5,1806.47
2025-06-17,Beethoven 5,5035.470000000001
2025-06-17,Tchaikovsky 5,1851.27
2025-06-18,Beethoven 5,5191.470000000001
2025-06-18,Tchaikovsky 5,1851.27
2025-06-20,Beethoven 5,5278.850000000001
2025-06-20,Tchaikovsky 5,2036.77
2025-06-21,Beethoven 5,5457.250000000001
2025-06-21,Tchaikovsky 5,2140.77
2025-06-22,Beethoven 5,5604.350000000001
2025-06-22,Tchaikovsky 5,2146.2599999999998
2025-06-23,Beethoven 5,5899.950000000002
2025-06-23,Tchaikovsky 5,2241.06
2025-06-24,Beethoven 5,5899.950000000002
2025-06-24,Tchaikovsky 5,2241.06
2025-06-25,Beethoven 5,6026.350000000001
2025-06-25,Tchaikovsky 5,2449.06
2025-06-26,Beethoven 5,10962.95
2025-06-26,Tchaikovsky 5,2524.24
2025-06-27,Beethoven 5,11438.050000000001
2025-06-27,Tchaikovsky 5,2628.24
2025-06-28,Beethoven 5,11659.640000000001
2025-06-28,Tchaikovsky 5,2628.24
2025-06-29,Beethoven 5,11941.02
2025-06-29,Tchaikovsky 5,2628.24
2025-06-30,Beethoven 5,12058.12
2025-06-30,Tchaikovsky 5,2743.4399999999996
2025-07-01,Beethoven 5,12215.12
2025-07-01,Tchaikovsky 5,2743.4399999999996
2025-07-02,Beethoven 5,12414.92
2025-07-02,Tchaikovsky 5,2840.24
2025-07-03,Beethoven 5,12639.12
2025-07-03,Tchaikovsky 5,2861.64
2025-07-04,Beethoven 5,12942.12
2025-07-04,Tchaikovsky 5,3042.14
2025-07-05,Beethoven 5,13603.720000000001
2025-07-05,Tchaikovsky 5,3142.04
2025-07-06,Beethoven 5,14214.54
2025-07-06,Tchaikovsky 5,3343.62
2025-07-07,Beethoven 5,14430.640000000001
2025-07-07,Tchaikovsky 5,3551.62
2025-07-08,Beethoven 5,14729.94
2025-07-08,Tchaikovsky 5,3574.02
2025-07-09,Beethoven 5,15129.34
2025-07-09,Tchaikovsky 5,3585.22
2025-07-10,Beethoven 5,15770.44
2025-07-10,Tchaikovsky 5,3682.1
2025-07-11,Beethoven 5,16766.34
2025-07-11,Tchaikovsky 5,3713.7
2025-07-12,Beethoven 5,17278.48
2025-07-12,Tchaikovsky 5,3997.5899999999997
2025-07-13,Beethoven 5,18604.52
2025-07-13,Tchaikovsky 5,4621.95
2025-07-14,Beethoven 5,18604.52
2025-07-14,Tchaikovsky 5,4874.53
2025-07-15,Beethoven 5,18604.52
2025-07-15,Tchaikovsky 5,5046.73
2025-07-16,Beethoven 5,18604.52
2025-07-16,Tchaikovsky 5,5544.129999999999
2025-07-17,Beethoven 5,18604.52
2025-07-17,Tchaikovsky 5,5909.389999999999
2025-07-18,Beethoven 5,18604.52
2025-07-18,Tchaikovsky 5,6108.469999999999
2025-07-19,Beethoven 5,18604.52
2025-07-19,Tchaikovsky 5,6489.669999999999
2025-07-20,Beethoven 5,18604.52
2025-07-20,Tchaikovsky 5,7114.349999999999
2025-07-21,Beethoven 5,18604.52
2025-07-21,Tchaikovsky 5,7561.95
2025-07-22,Beethoven 5,18604.52
2025-07-22,Tchaikovsky 5,7732.15
2025-07-23,Beethoven 5,18604.52
2025-07-23,Tchaikovsky 5,7916.65
2025-07-24,Beethoven 5,18604.52
2025-07-24,Tchaikovsky 5,8321.23
2025-07-25,Beethoven 5,18604.52
2025-07-25,Tchaikovsky 5,8890.029999999999
2025-07-26,Beethoven 5,18604.52
2025-07-26,Tchaikovsky 5,9040.609999999999
2025-07-27,Beethoven 5,18604.52
2025-07-27,Tchaikovsky 5,9442.499999999998
2025-07-28,Beethoven 5,18604.52
2025-07-28,Tchaikovsky 5,9641.299999999997
2025-07-29,Beethoven 5,18604.52
2025-07-29,Tchaikovsky 5,10403.799999999997
2025-07-30,Beethoven 5,18604.52
2025-07-30,Tchaikovsky 5,10932.699999999997
2025-07-31,Beethoven 5,18604.52
2025-07-31,Tchaikovsky 5,11486.099999999997
2025-08-01,Beethoven 5,18604.52
2025-08-01,Tchaikovsky 5,12721.509999999997
2025-08-02,Beethoven 5,18604.52
2025-08-02,Tchaikovsky 5,13413.509999999997
2025-08-03,Beethoven 5,18604.52
2025-08-03,Tchaikovsky 5,14853.979999999996
